name,scenario,mode,repeat,path,prompt_sha256,requests,success_rate,ttft_p50_ms,ttft_p95_ms,fg_ttft_p50_ms,fg_ttft_p95_ms,return_ttft_p50_ms,return_ttft_p95_ms,tpot_p95_ms,latency_p95_ms,throughput,output_tokens_per_s,goodput,slo_pct,load_valid,actual_rate,dispatch_lag_p95_ms,query_tokens,hit_tokens,gpu_hit_pct,prompt_tokens,server_prompt_tokens,server_completed,preemptions,prompt_min,prompt_max,queue_mean_ms,prefill_mean_ms,decode_mean_ms,inference_mean_ms,waiting_peak,active_kv_peak,gpu_util_mean_pct,gpu_memory_peak_mib,invalid_gpu_memory_samples,gpu_temp_peak_c,l2_lookups,l2_hits,l2_external_tokens,l2_rejected,l2_stores,l2_loads,l2_evictions,l2_bytes_written,l2_bytes_read,l2_save_ms,l2_load_ms,l2_resident_mib,l2_write_mib,l2_read_mib,counter_valid
pcoff,gap0_bg0,closed,1,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg0\closed\run1.json.gz,2ea890e34c38710395673a884410a46037b02cf3705d7e2788b540bf763b3aeb,32,1.0,385.786,1604.438,385.7865,1604.4384049999999,398.05215,1604.6001849999998,48.714,2163.951,3.2345,103.5038,1.1118575156615238,34.375,True,,,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,0.009087406247942909,452.8530131562505,707.3747144375062,1160.2277275937568,0.0,0.034205488194001266,54.25,7875.0,10,69.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg0,closed,2,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg0\closed\run2.json.gz,1b84e1fca892b97b04f0e162f4a809d687ebd55158b146e1b38c161af7fb1352,32,1.0,308.661,560.579,308.66134999999997,560.579445,292.1105,388.93413499999997,26.687,1186.974,4.2413,135.7228,2.1206689809350534,50.0,True,,,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,0.00755356251147532,203.73236809373196,641.942377468709,845.6747455624409,0.0,0.034205488194001266,59.1,,10,79.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg0,open-6,1,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg0\open-6\run1.json.gz,2ea890e34c38710395673a884410a46037b02cf3705d7e2788b540bf763b3aeb,32,1.0,784.039,1906.751,784.0391500000001,1906.7514500000002,875.8573,1909.9356500000001,29.769,2659.387,4.1776,133.6816,0.6527421960754006,15.625,True,6.015473427664468,12.506583335683363,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,753.164913750009,100.2857550312406,810.4033855312593,910.6891405624999,7.0,0.034205488194001266,58.6,,10,75.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg0,open-6,2,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg0\open-6\run2.json.gz,1b84e1fca892b97b04f0e162f4a809d687ebd55158b146e1b38c161af7fb1352,32,1.0,696.69,1530.055,696.69035,1530.054545,770.38015,1538.0953650000001,27.09,2233.149,4.4075,141.0397,0.8264042777991036,18.75,True,5.995267606493438,12.924599993129924,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,636.302137500003,91.43988409373804,768.2063366562559,859.646220749994,7.0,0.029993618379068332,56.1,,10,76.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg2,closed,1,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg2\closed\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,261.603,767.183,261.12194999999997,695.1445099999999,257.75245,620.1152999999999,34.168,1532.782,3.9052,124.9665,2.603468975965344,66.66666666666666,True,,,0.0,0.0,,60768,60768.0,96.0,0.0,544,1041,0.006013114583443742,230.2972739062561,709.5622966874929,939.859570593749,0.0,0.024760689215060583,82.65384615384616,,26,78.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg2,closed,2,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg2\closed\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,237.113,433.69,236.99419999999998,369.5187899999999,240.50775,316.318325,26.23,1052.026,4.4853,143.5302,3.691043235058295,82.29166666666666,True,,,0.0,0.0,,60768,60768.0,96.0,0.0,544,1041,0.005995177062345647,166.31375150001304,650.9310132499783,817.2447647499913,0.0,0.025271218889597935,81.21739130434783,,23,77.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg2,open-6,1,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg2\open-6\run1.json.gz,2d675729d6fe9f59c7074f212e09e67b252c2b115f5d7f34ba0715b121c2bd99,96,1.0,1702.408,3833.284,1741.8397,3992.14962,1986.2927,4069.37914,33.753,4821.502,4.6261,148.0366,0.2891339974162986,6.25,True,6.007169461901074,17.64454167156737,0.0,0.0,,60768,60768.0,96.0,0.0,544,1041,1648.8426580416703,78.26022732291686,766.9357882187514,845.1960155416683,16.0,0.02629227823867264,81.27272727272727,,22,79.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap0_bg2,open-6,2,results\prefix-study\published-20260913\stage1\pcoff\gap0_bg2\open-6\run2.json.gz,aae19efc4468b82aa1cc4c2b5e07e03e00a0b8789b1e45d66326a36437628c8f,96,1.0,1543.687,3076.687,1591.8672000000001,3096.1658899999998,1766.07755,3107.3887299999997,24.256,3741.921,4.9155,157.2946,0.3072159339387433,6.25,True,6.006005512387723,15.016316660573292,0.0,0.0,,60768,60768.0,96.0,0.0,544,1041,1485.2639574687626,70.98025417707987,726.4756151770725,797.4558693541525,16.0,0.02629227823867264,83.61904761904762,,21,81.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap2000_bg0,closed,1,results\prefix-study\published-20260913\stage1\pcoff\gap2000_bg0\closed\run1.json.gz,657d6bb71738a5e5a4a201bb408f391c84bff090394382409e86c5420765cc1a,32,1.0,615.5,966.115,615.5001,966.11476,640.65035,966.2329199999999,40.284,1686.644,1.2776,40.8833,0.03992509254137388,3.125,True,,,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,0.022022156255019354,364.05807146874736,801.9935948124903,1166.0516662812377,0.0,0.03369495851946391,42.19230769230769,,26,65.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
pcoff,gap2000_bg0,closed,2,results\prefix-study\published-20260913\stage1\pcoff\gap2000_bg0\closed\run2.json.gz,8ab3440e32f31e1850819ada40ecc08127c395a9a037009a18a873423ca8d934,32,1.0,527.728,660.658,527.72765,660.657825,540.20475,660.799925,28.081,1272.894,1.3769,44.0612,0.12908541349457192,9.375,True,,,0.0,0.0,,25888,25888.0,32.0,0.0,578,1040,0.026026749978314,272.1817846875254,659.5453768124564,931.7271614999818,0.0,0.021952776005105257,32.166666666666664,,24,64.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,True
